"","reporter_iso","partner_iso","product_code","product_shortname_english","export_value_usd","import_value_usd"
"1","mmr","afg","0501","Human Hair",NA,1221298
"2","are","ago","0501","Human Hair",3965,NA
"3","bel","ago","0501","Human Hair",NA,399
"4","bra","ago","0501","Human Hair",286,NA
"5","chn","ago","0501","Human Hair",6600,NA
"6","eth","ago","0501","Human Hair",29593,NA
"7","fin","ago","0501","Human Hair",NA,132
"8","fra","ago","0501","Human Hair",NA,121
"9","gbr","ago","0501","Human Hair",2521,NA
"10","ind","ago","0501","Human Hair",42503,NA
"11","nam","ago","0501","Human Hair",1182,104
"12","prt","ago","0501","Human Hair",NA,97
"13","vnm","ago","0501","Human Hair",112,NA
"14","mmr","aia","0501","Human Hair",NA,5378
"15","ago","are","0501","Human Hair",NA,3965
"16","aus","are","0501","Human Hair",421,NA
"17","bgd","are","0501","Human Hair",NA,81
"18","bhr","are","0501","Human Hair",NA,4979
"19","chn","are","0501","Human Hair",4782,NA
"20","gbr","are","0501","Human Hair",125060,544
"21","idn","are","0501","Human Hair",3627,NA
"22","ind","are","0501","Human Hair",60180,163
"23","irn","are","0501","Human Hair",NA,41796
"24","ita","are","0501","Human Hair",39665,NA
"25","nld","are","0501","Human Hair",549,11103
"26","pak","are","0501","Human Hair",22529,NA
"27","usa","are","0501","Human Hair",58010,NA
"28","zwe","are","0501","Human Hair",NA,192
"29","usa","arg","0501","Human Hair",53865,NA
"30","usa","atg","0501","Human Hair",489,NA
"31","are","aus","0501","Human Hair",NA,421
"32","deu","aus","0501","Human Hair",36291,NA
"33","fin","aus","0501","Human Hair",176,NA
"34","gbr","aus","0501","Human Hair",42985,2607
"35","gha","aus","0501","Human Hair",329,NA
"36","hkg","aus","0501","Human Hair",26790,NA
"37","irl","aus","0501","Human Hair",4975,NA
"38","ken","aus","0501","Human Hair",6475,NA
"39","nam","aus","0501","Human Hair",NA,335
"40","usa","aus","0501","Human Hair",4690,NA
"41","che","aut","0501","Human Hair",27,8355
"42","chn","aut","0501","Human Hair",66768,NA
"43","cze","aut","0501","Human Hair",NA,11465
"44","deu","aut","0501","Human Hair",3646,NA
"45","fra","aut","0501","Human Hair",121,NA
"46","gbr","aut","0501","Human Hair",161319,NA
"47","grc","aut","0501","Human Hair",NA,646
"48","hkg","aut","0501","Human Hair",132393,NA
"49","ind","aut","0501","Human Hair",308309,NA
"50","ita","aut","0501","Human Hair",2366841,NA
"51","mmr","aut","0501","Human Hair",836,NA
"52","sgp","aut","0501","Human Hair",11627104,4633
"53","tha","aut","0501","Human Hair",NA,239
"54","ago","bel","0501","Human Hair",399,NA
"55","bra","bel","0501","Human Hair",438,NA
"56","che","bel","0501","Human Hair",64,1418
"57","chn","bel","0501","Human Hair",3888,NA
"58","cmr","bel","0501","Human Hair",961,NA
"59","col","bel","0501","Human Hair",317,NA
"60","cze","bel","0501","Human Hair",NA,3682
"61","gbr","bel","0501","Human Hair",595,NA
"62","hkg","bel","0501","Human Hair",237,NA
"63","ind","bel","0501","Human Hair",43217,NA
"64","usa","bel","0501","Human Hair",997,NA
"65","zaf","bel","0501","Human Hair",112,NA
"66","nga","ben","0501","Human Hair",NA,24747
"67","are","bgd","0501","Human Hair",81,NA
"68","ind","bgd","0501","Human Hair",29560,NA
"69","ita","bgd","0501","Human Hair",NA,5473
"70","mmr","bgd","0501","Human Hair",8009,9332
"71","sgp","bgd","0501","Human Hair",NA,29277
"72","deu","bgr","0501","Human Hair",15469,NA
"73","idn","bgr","0501","Human Hair",474,NA
"74","ind","bgr","0501","Human Hair",4085,NA
"75","nld","bgr","0501","Human Hair",NA,2
"76","are","bhr","0501","Human Hair",4979,NA
"77","chn","bhr","0501","Human Hair",1539,NA
"78","idn","bhr","0501","Human Hair",1989,NA
"79","ind","bhr","0501","Human Hair",5493,NA
"80","tha","bhr","0501","Human Hair",36,NA
"81","usa","bhs","0501","Human Hair",42318,NA
"82","deu","bih","0501","Human Hair",1322,NA
"83","chn","blr","0501","Human Hair",NA,16500
"84","ind","blr","0501","Human Hair",926,NA
"85","isr","blr","0501","Human Hair",NA,24100
"86","rus","blr","0501","Human Hair",NA,3300
"87","usa","blr","0501","Human Hair",741,6200
"88","slv","blz","0501","Human Hair",151,NA
"89","usa","blz","0501","Human Hair",2880,NA
"90","chn","bmu","0501","Human Hair",120,NA
"91","usa","bmu","0501","Human Hair",2237,NA
"92","ind","bol","0501","Human Hair",988,NA
"93","usa","bol","0501","Human Hair",65719,NA
"94","ago","bra","0501","Human Hair",NA,286
"95","bel","bra","0501","Human Hair",NA,438
"96","chn","bra","0501","Human Hair",488325,NA
"97","deu","bra","0501","Human Hair",47758,NA
"98","esp","bra","0501","Human Hair",NA,144
"99","hkg","bra","0501","Human Hair",590736,NA
"100","ind","bra","0501","Human Hair",3734,NA
"101","isr","bra","0501","Human Hair",NA,810186
"102","mmr","bra","0501","Human Hair",64030,NA
"103","nld","bra","0501","Human Hair",800,NA
"104","usa","bra","0501","Human Hair",40487,5312
"105","vnm","bra","0501","Human Hair",1467,NA
"106","sgp","brn","0501","Human Hair",1729,NA
"107","chn","bwa","0501","Human Hair",563,NA
"108","hkg","bwa","0501","Human Hair",7,NA
"109","ind","bwa","0501","Human Hair",78,NA
"110","ken","bwa","0501","Human Hair",1387,NA
"111","nam","bwa","0501","Human Hair",NA,41
"112","zaf","bwa","0501","Human Hair",6354,NA
"113","che","can","0501","Human Hair",NA,990
"114","chn","can","0501","Human Hair",5717,NA
"115","cze","can","0501","Human Hair",NA,127
"116","deu","can","0501","Human Hair",329,NA
"117","dnk","can","0501","Human Hair",NA,211
"118","fra","can","0501","Human Hair",300,102322
"119","gha","can","0501","Human Hair",52,NA
"120","ind","can","0501","Human Hair",202,NA
"121","nld","can","0501","Human Hair",NA,174
"122","phl","can","0501","Human Hair",3123,NA
"123","tha","can","0501","Human Hair",NA,3613
"124","usa","can","0501","Human Hair",4120,NA
"125","aut","che","0501","Human Hair",8355,27
"126","bel","che","0501","Human Hair",1418,64
"127","can","che","0501","Human Hair",990,NA
"128","chn","che","0501","Human Hair",56420,12
"129","deu","che","0501","Human Hair",4793,36265
"130","esp","che","0501","Human Hair",NA,48096
"131","fra","che","0501","Human Hair",719,1069
"132","gbr","che","0501","Human Hair",48484,3052
"133","hkg","che","0501","Human Hair",671,9
"134","idn","che","0501","Human Hair",4711,NA
"135","ind","che","0501","Human Hair",6142,NA
"136","irl","che","0501","Human Hair",NA,18
"137","ita","che","0501","Human Hair",12760,622
"138","lux","che","0501","Human Hair",NA,27
"139","nld","che","0501","Human Hair",NA,19
"140","prt","che","0501","Human Hair",176,NA
"141","rom","che","0501","Human Hair",NA,485
"142","swe","che","0501","Human Hair",NA,1
"143","tur","che","0501","Human Hair",682,NA
"144","usa","che","0501","Human Hair",1150,NA
"145","vnm","che","0501","Human Hair",NA,5
"146","chn","chl","0501","Human Hair",33,NA
"147","per","chl","0501","Human Hair",86,NA
"148","ago","chn","0501","Human Hair",NA,6600
"149","are","chn","0501","Human Hair",NA,4782
"150","aut","chn","0501","Human Hair",NA,66768
"151","bel","chn","0501","Human Hair",NA,3888
"152","bhr","chn","0501","Human Hair",NA,1539
"153","blr","chn","0501","Human Hair",16500,NA
"154","bmu","chn","0501","Human Hair",NA,120
"155","bra","chn","0501","Human Hair",NA,488325
"156","bwa","chn","0501","Human Hair",NA,563
"157","can","chn","0501","Human Hair",NA,5717
"158","che","chn","0501","Human Hair",12,56420
"159","chl","chn","0501","Human Hair",NA,33
"160","cze","chn","0501","Human Hair",NA,44933
"161","deu","chn","0501","Human Hair",NA,217798
"162","esp","chn","0501","Human Hair",NA,157
"163","est","chn","0501","Human Hair",NA,2885
"164","fin","chn","0501","Human Hair",100,NA
"165","fra","chn","0501","Human Hair",NA,12126
"166","gbr","chn","0501","Human Hair",281380,698020
"167","gha","chn","0501","Human Hair",NA,429
"168","grc","chn","0501","Human Hair",NA,602
"169","hkg","chn","0501","Human Hair",57332,27819
"170","hun","chn","0501","Human Hair",NA,46383
"171","idn","chn","0501","Human Hair",9875,NA
"172","ind","chn","0501","Human Hair",7270250,62336
"173","irl","chn","0501","Human Hair",NA,1810
"174","isr","chn","0501","Human Hair",16000,12963
"175","ita","chn","0501","Human Hair",NA,5168798
"176","jpn","chn","0501","Human Hair",265167,102941
"177","kaz","chn","0501","Human Hair",NA,5995
"178","kor","chn","0501","Human Hair",12100,255892
"179","mmr","chn","0501","Human Hair",8604412,28954
"180","moz","chn","0501","Human Hair",NA,7078
"181","mys","chn","0501","Human Hair",NA,1523
"182","nam","chn","0501","Human Hair",NA,13638
"183","nga","chn","0501","Human Hair",NA,134128
"184","nld","chn","0501","Human Hair",4021,444
"185","pak","chn","0501","Human Hair",10840,NA
"186","sgp","chn","0501","Human Hair",115532,361142
"187","srb","chn","0501","Human Hair",NA,13136
"188","svk","chn","0501","Human Hair",NA,41628
"189","tur","chn","0501","Human Hair",NA,4200
"190","tza","chn","0501","Human Hair",NA,4619
"191","uga","chn","0501","Human Hair",NA,47
"192","usa","chn","0501","Human Hair",208909,582227
"193","uzb","chn","0501","Human Hair",NA,6832
"194","zaf","chn","0501","Human Hair",NA,13963
"195","zmb","chn","0501","Human Hair",NA,1938
"196","zwe","chn","0501","Human Hair",NA,630
"197","gha","civ","0501","Human Hair",18814,NA
"198","bel","cmr","0501","Human Hair",NA,961
"199","fra","cmr","0501","Human Hair",NA,215
"200","gbr","cmr","0501","Human Hair",1281,NA
"201","tza","cod","0501","Human Hair",66335,NA
"202","zaf","cod","0501","Human Hair",52056,NA
"203","fra","cog","0501","Human Hair",4032,NA
"204","bel","col","0501","Human Hair",NA,317
"205","usa","col","0501","Human Hair",10375,NA
"206","tza","com","0501","Human Hair",6447,NA
"207","usa","cri","0501","Human Hair",24473,NA
"208","gbr","cyp","0501","Human Hair",3634,NA
"209","usa","cyp","0501","Human Hair",5502,NA
"210","aut","cze","0501","Human Hair",11465,NA
"211","bel","cze","0501","Human Hair",3682,NA
"212","can","cze","0501","Human Hair",127,NA
"213","chn","cze","0501","Human Hair",44933,NA
"214","deu","cze","0501","Human Hair",4961,NA
"215","idn","cze","0501","Human Hair",1431,NA
"216","ind","cze","0501","Human Hair",6627,NA
"217","ita","cze","0501","Human Hair",NA,2938
"218","mda","cze","0501","Human Hair",3276,NA
"219","mmr","cze","0501","Human Hair",1812,NA
"220","nga","cze","0501","Human Hair",138,NA
"221","rus","cze","0501","Human Hair",3,NA
"222","ukr","cze","0501","Human Hair",1229,NA
"223","ury","cze","0501","Human Hair",NA,2
"224","usa","cze","0501","Human Hair",NA,1965
"225","vnm","cze","0501","Human Hair",1763,NA
"226","aus","deu","0501","Human Hair",NA,36291
"227","aut","deu","0501","Human Hair",NA,3646
"228","bgr","deu","0501","Human Hair",NA,15469
"229","bih","deu","0501","Human Hair",NA,1322
"230","bra","deu","0501","Human Hair",NA,47758
"231","can","deu","0501","Human Hair",NA,329
"232","che","deu","0501","Human Hair",36265,4793
"233","chn","deu","0501","Human Hair",217798,NA
"234","cze","deu","0501","Human Hair",NA,4961
"235","esp","deu","0501","Human Hair",266,1551
"236","fra","deu","0501","Human Hair",NA,88
"237","gbr","deu","0501","Human Hair",670995,457
"238","hkg","deu","0501","Human Hair",4857,NA
"239","hun","deu","0501","Human Hair",NA,1604
"240","idn","deu","0501","Human Hair",4810,NA
"241","ind","deu","0501","Human Hair",154551,NA
"242","isr","deu","0501","Human Hair",5468,NA
"243","ita","deu","0501","Human Hair",20094,6485
"244","mmr","deu","0501","Human Hair",799,NA
"245","nld","deu","0501","Human Hair",8563,17054
"246","pol","deu","0501","Human Hair",NA,143843
"247","rus","deu","0501","Human Hair",2037,NA
"248","sgp","deu","0501","Human Hair",14551,NA
"249","swe","deu","0501","Human Hair",NA,2881198
"250","tur","deu","0501","Human Hair",669,NA
"251","ukr","deu","0501","Human Hair",119683,NA
"252","vnm","deu","0501","Human Hair",10467,NA
"253","can","dnk","0501","Human Hair",211,NA
"254","swe","dnk","0501","Human Hair",43716,46590
"255","usa","dnk","0501","Human Hair",157298,NA
"256","ind","dom","0501","Human Hair",80387,NA
"257","usa","dom","0501","Human Hair",18591,NA
"258","usa","ecu","0501","Human Hair",16128,NA
"259","bra","esp","0501","Human Hair",144,NA
"260","che","esp","0501","Human Hair",48096,NA
"261","chn","esp","0501","Human Hair",157,NA
"262","deu","esp","0501","Human Hair",1551,266
"263","fra","esp","0501","Human Hair",2293,NA
"264","gbr","esp","0501","Human Hair",9896,11
"265","hkg","esp","0501","Human Hair",NA,145
"266","idn","esp","0501","Human Hair",443,NA
"267","ind","esp","0501","Human Hair",18209,NA
"268","ita","esp","0501","Human Hair",NA,3257
"269","mex","esp","0501","Human Hair",NA,23
"270","moz","esp","0501","Human Hair",NA,5915
"271","prt","esp","0501","Human Hair",120,NA
"272","sgp","esp","0501","Human Hair",1085,NA
"273","usa","esp","0501","Human Hair",85,37130
"274","chn","est","0501","Human Hair",2885,NA
"275","ind","est","0501","Human Hair",18888,NA
"276","vnm","est","0501","Human Hair",5417,NA
"277","ago","eth","0501","Human Hair",NA,29593
"278","ind","eth","0501","Human Hair",1149,NA
"279","ago","fin","0501","Human Hair",132,NA
"280","aus","fin","0501","Human Hair",NA,176
"281","chn","fin","0501","Human Hair",NA,100
"282","mmr","fin","0501","Human Hair",220,NA
"283","nor","fin","0501","Human Hair",NA,117
"284","nzl","fin","0501","Human Hair",NA,117
"285","swe","fin","0501","Human Hair",NA,2664
"286","usa","fin","0501","Human Hair",NA,429
"287","ago","fra","0501","Human Hair",121,NA
"288","aut","fra","0501","Human Hair",NA,121
"289","can","fra","0501","Human Hair",102322,300
"290","che","fra","0501","Human Hair",1069,719
"291","chn","fra","0501","Human Hair",12126,NA
"292","cmr","fra","0501","Human Hair",215,NA
"293","cog","fra","0501","Human Hair",NA,4032
"294","deu","fra","0501","Human Hair",88,NA
"295","esp","fra","0501","Human Hair",NA,2293
"296","gab","fra","0501","Human Hair",NA,3905
"297","gbr","fra","0501","Human Hair",2015,NA
"298","ind","fra","0501","Human Hair",6732,68
"299","ita","fra","0501","Human Hair",40,NA
"300","prt","fra","0501","Human Hair",NA,857
"301","sgp","fra","0501","Human Hair",7678,NA
"302","usa","fra","0501","Human Hair",457,10963
"303","fra","gab","0501","Human Hair",3905,NA
"304","ind","gab","0501","Human Hair",48,NA
"305","ago","gbr","0501","Human Hair",NA,2521
"306","are","gbr","0501","Human Hair",544,125060
"307","aus","gbr","0501","Human Hair",2607,42985
"308","aut","gbr","0501","Human Hair",NA,161319
"309","bel","gbr","0501","Human Hair",NA,595
"310","che","gbr","0501","Human Hair",3052,48484
"311","chn","gbr","0501","Human Hair",698020,281380
"312","cmr","gbr","0501","Human Hair",NA,1281
"313","cyp","gbr","0501","Human Hair",NA,3634
"314","deu","gbr","0501","Human Hair",457,670995
"315","esp","gbr","0501","Human Hair",11,9896
"316","fra","gbr","0501","Human Hair",NA,2015
"317","hkg","gbr","0501","Human Hair",37424,NA
"318","idn","gbr","0501","Human Hair",14625,NA
"319","ind","gbr","0501","Human Hair",218627,21935
"320","irl","gbr","0501","Human Hair",NA,1266710
"321","ita","gbr","0501","Human Hair",NA,221275
"322","mac","gbr","0501","Human Hair",NA,1333
"323","mlt","gbr","0501","Human Hair",NA,43008
"324","nga","gbr","0501","Human Hair",NA,927
"325","nld","gbr","0501","Human Hair",NA,87884
"326","nor","gbr","0501","Human Hair",NA,6283
"327","nzl","gbr","0501","Human Hair",6122,7776
"328","pak","gbr","0501","Human Hair",12582,NA
"329","prt","gbr","0501","Human Hair",NA,26824
"330","sau","gbr","0501","Human Hair",NA,8788
"331","sgp","gbr","0501","Human Hair",NA,2323
"332","svn","gbr","0501","Human Hair",NA,469
"333","tha","gbr","0501","Human Hair",NA,3136
"334","tur","gbr","0501","Human Hair",2144,NA
"335","usa","gbr","0501","Human Hair",5705,40282
"336","uzb","gbr","0501","Human Hair",1326,NA
"337","zaf","gbr","0501","Human Hair",316,229
"338","aus","gha","0501","Human Hair",NA,329
"339","can","gha","0501","Human Hair",NA,52
"340","chn","gha","0501","Human Hair",429,NA
"341","civ","gha","0501","Human Hair",NA,18814
"342","ind","gha","0501","Human Hair",1745,NA
"343","isr","gha","0501","Human Hair",NA,58
"344","jpn","gha","0501","Human Hair",NA,63
"345","sau","gha","0501","Human Hair",NA,52
"346","usa","gha","0501","Human Hair",4138,78
"347","ind","gmb","0501","Human Hair",510,NA
"348","nga","gmb","0501","Human Hair",182,NA
"349","aut","grc","0501","Human Hair",646,NA
"350","chn","grc","0501","Human Hair",602,NA
"351","ita","grc","0501","Human Hair",8790,NA
"352","nld","grc","0501","Human Hair",NA,4
"353","aus","hkg","0501","Human Hair",NA,26790
"354","aut","hkg","0501","Human Hair",NA,132393
"355","bel","hkg","0501","Human Hair",NA,237
"356","bra","hkg","0501","Human Hair",NA,590736
"357","bwa","hkg","0501","Human Hair",NA,7
"358","che","hkg","0501","Human Hair",9,671
"359","chn","hkg","0501","Human Hair",27819,57332
"360","deu","hkg","0501","Human Hair",NA,4857
"361","esp","hkg","0501","Human Hair",145,NA
"362","gbr","hkg","0501","Human Hair",NA,37424
"363","idn","hkg","0501","Human Hair",20,29037160
"364","ind","hkg","0501","Human Hair",551331,NA
"365","isr","hkg","0501","Human Hair",NA,5556
"366","mmr","hkg","0501","Human Hair",7455,NA
"367","mys","hkg","0501","Human Hair",8110838,NA
"368","pak","hkg","0501","Human Hair",1032,NA
"369","sgp","hkg","0501","Human Hair",NA,6339
"370","tha","hkg","0501","Human Hair",1896,NA
"371","usa","hkg","0501","Human Hair",69070,502
"372","uzb","hkg","0501","Human Hair",2695,NA
"373","vnm","hkg","0501","Human Hair",NA,30044
"374","zaf","hkg","0501","Human Hair",NA,5117
"375","usa","hnd","0501","Human Hair",2747,NA
"376","nld","hrv","0501","Human Hair",NA,1
"377","chn","hun","0501","Human Hair",46383,NA
"378","deu","hun","0501","Human Hair",1604,NA
"379","ind","hun","0501","Human Hair",360,NA
"380","nld","hun","0501","Human Hair",NA,14
"381","usa","hun","0501","Human Hair",100,NA
"382","vnm","hun","0501","Human Hair",5497,NA
"383","are","idn","0501","Human Hair",NA,3627
"384","bgr","idn","0501","Human Hair",NA,474
"385","bhr","idn","0501","Human Hair",NA,1989
"386","che","idn","0501","Human Hair",NA,4711
"387","chn","idn","0501","Human Hair",NA,9875
"388","cze","idn","0501","Human Hair",NA,1431
"389","deu","idn","0501","Human Hair",NA,4810
"390","esp","idn","0501","Human Hair",NA,443
"391","gbr","idn","0501","Human Hair",NA,14625
"392","hkg","idn","0501","Human Hair",29037160,20
"393","ind","idn","0501","Human Hair",206467,10892
"394","jpn","idn","0501","Human Hair",NA,3670
"395","kor","idn","0501","Human Hair",109,NA
"396","mmr","idn","0501","Human Hair",NA,169568
"397","sau","idn","0501","Human Hair",NA,800
"398","sgp","idn","0501","Human Hair",NA,306603
"399","tur","idn","0501","Human Hair",NA,735072
"400","ury","idn","0501","Human Hair",NA,3831
"401","usa","idn","0501","Human Hair",159,4082
"402","vnm","idn","0501","Human Hair",NA,6612
"403","ago","ind","0501","Human Hair",NA,42503
"404","are","ind","0501","Human Hair",163,60180
"405","aut","ind","0501","Human Hair",NA,308309
"406","bel","ind","0501","Human Hair",NA,43217
"407","bgd","ind","0501","Human Hair",NA,29560
"408","bgr","ind","0501","Human Hair",NA,4085
"409","bhr","ind","0501","Human Hair",NA,5493
"410","blr","ind","0501","Human Hair",NA,926
"411","bol","ind","0501","Human Hair",NA,988
"412","bra","ind","0501","Human Hair",NA,3734
"413","bwa","ind","0501","Human Hair",NA,78
"414","can","ind","0501","Human Hair",NA,202
"415","che","ind","0501","Human Hair",NA,6142
"416","chn","ind","0501","Human Hair",62336,7270250
"417","cze","ind","0501","Human Hair",NA,6627
"418","deu","ind","0501","Human Hair",NA,154551
"419","dom","ind","0501","Human Hair",NA,80387
"420","esp","ind","0501","Human Hair",NA,18209
"421","est","ind","0501","Human Hair",NA,18888
"422","eth","ind","0501","Human Hair",NA,1149
